x,y
-0.7998319270945315,-2.8378389954266177
-0.74650342707854,-2.8378384965999794
-0.6936635873056972,-2.837838194124716
-0.6412736880666409,-2.8378375979044272
-0.4963380129935063,-2.3901832002926393
-0.4518981033757826,-2.38501721394267
-0.486435573903053,-2.8378364558601397
-0.43548216922251526,-2.837836180426562
-0.38480159540226616,-2.837835658643261
-0.3343609423772524,-2.8378352931090074
-0.28412782305436896,-2.83783496418668
-0.23407037660636754,-2.837834537663852
-0.18415720508416308,-2.837834135111928
-0.13435726116755972,-2.837833924054046
-0.08463974556292421,-2.837833424116155
-0.03497410800806014,-2.8378331902309277
0.014670107717316812,-2.837832679708348
0.06432329124341542,-2.8378324030818654
0.11401585566332281,-2.8378320180805447
0.16377830601397642,-2.837831517879393
0.21364134299359072,-2.837831221273633
0.2636358778759525,-2.837830806770964
0.3137931828057341,-2.8378304831125365
0.3641448915575948,-2.8378300145565327
0.41472317547224086,-2.837829639586944
0.4655607469595203,-2.837829324275819
0.5166909578456736,-2.8378289593285047
0.5681479205542308,-2.8378285483742585
0.6199666007487983,-2.8378281531416656
0.6721829073708266,-2.837827832584099
0.724833720802816,-2.8378273450535576
0.7779572088753551,-2.8378270007156803
0.8315926996938497,-2.8378266516166715
0.8857809513772429,-2.837826295117232
0.9405641895990091,-2.8378257446935935
0.9959865113598552,-2.8378254262743337
1.0520935492986978,-2.8378248989544463
1.10893320392982,-2.8378245279811933
1.1665552879524528,-2.837823992353682
1.2250122523945328,-2.8378236847269123
1.2843587889053472,-2.8378232115054196
1.344652613481474,-2.837822744934163
1.4059544480288515,-2.837822370349108
1.4683281655214329,-2.837821867227902
1.531841377746769,-2.8378213195082753
1.5965656322344355,-2.8378208368830387
1.6625767162592906,-2.8378204688654356
1.7299548442032522,-2.837819890021322
1.7987855956231689,-2.837819280624115
0.7688085236157407,-1.1672297539881777
0.7688097640421303,-1.1239285607254825
0.7688108625829323,-1.082786815197125
0.7688119679155618,-1.0436237166249231
0.7688130779874063,-1.006277553805658
0.7688140331227565,-0.9706032100999207
0.768815023377078,-0.9364706769503386
0.7688159527099763,-0.9037624081078205
0.7688168050491887,-0.8723722403505159
0.7688176688097103,-0.8422040672166387
0.7688184718560238,-0.8131703879074373
0.7688192438855604,-0.7851916106421623
0.7688200606991071,-0.7581951154348578
0.7688207276208768,-0.7321141935231074
0.768821501663614,-0.7068881001168735
0.7688221313694042,-0.6824605531993546
0.7688228313894941,-0.6587801442780467
0.7688234662055838,-0.6357991461849201
0.768824108641332,-0.6134736182525561
0.7758575806164079,-0.5971759594085808
0.8045941111252131,-0.5971767586839473
0.83471816813932,-0.5971776153226427
0.8663525701938884,-0.597178534064162
0.8996346169430729,-0.5971794537715166
0.9347185973389394,-0.597180427686763
0.9717783285040803,-0.5971815205543116
1.0110099630187896,-0.5971825742808172
1.0526367231240852,-0.5971837527759812
1.0969127412238266,-0.5971850349843607
1.1441289736298514,-0.5971863734202933
